"Timestamp","Your Name (visible only for the gamemaster)","Скопируйте ссылку на видео:"
"2021/01/07 1:27:41 PM GMT+1", "Player1", "URL1"
"2021/01/08 3:42:51 PM GMT+1", "Player2", "URL2"
"2021/01/09 5:34:03 PM GMT+1", "Player3", "URL3"
"2021/01/09 5:34:03 PM GMT+1", "Player4", "URL4"
"2021/01/09 5:34:03 PM GMT+1", "Player5", "URL5"
"2021/01/10 7:34:16 PM GMT+1", "Player6", "URL6"
"2021/01/10 7:34:16 PM GMT+1", "Player7", "URL7"
"2021/01/10 7:34:16 PM GMT+1", "Player8", "URL8"
"2021/01/10 7:34:16 PM GMT+1", "Player9", "URL9"
"2021/01/11 8:24:53 PM GMT+1", "Player10", "URL10"
"2021/01/12 10:04:33 PM GMT+1", "Player11", "URL11"
